Year Catch Kvichak Alagnak Alagnak.code Naknek Total Total Run
1983 21,559,372 3,569,982 96,220 b 888,294 4,554,496 26,113,868
1984 14,546,710 10,490,670 215,370 b 1,242,474 11,948,514 26,495,224
1985 8,179,093 7,211,046 118,030 b 1,849,938 9,179,014 17,358,107
1986 2,892,171 1,179,322 230,180 b 1,977,645 3,387,147 6,279,318
1987 4,986,002 6,065,880 154,210 b 1,061,806 7,281,896 12,267,898
1988 3,480,836 4,065,216 194,630 b 1,037,862 5,297,708 8,778,544
1989 13,809,956 8,317,500 196,760 b 1,161,984 9,676,244 23,486,200
1990 17,272,224 6,970,020 168,760 b 2,092,578 9,231,358 26,503,582
1991 10,475,206 4,222,788 277,589 b 3,578,508 8,078,885 18,554,091
1992 9,395,948 4,725,864 224,643 b 1,606,650 6,557,157 15,953,105
1993 8,907,876 4,025,166 347,975 b b 1,535,658 5,908,799 14,816,675
1994 16,327,858 8,337,840 242,595 b 990,810 9,571,245 25,899,103
1995 20,279,581 10,038,720 215,713 b 1,111,140 11,365,573 31,645,154
1996 8,211,983 1,450,578 306,750  b 1,078,098 2,835,426 11,047,409
1997 589,545 1,503,732 218,115 b 1,025,664 2,747,511 3,336,822
1998 2,596,490 2,296,074 252,200 b 1,202,172 3,750,446 6,345,885
1999 9,454,109 6,196,914 481,600 b 1,625,364 8,303,878 17,756,850
2000 4,728,095 1,827,780 451,300 b 1,375,488 3,654,568 8,381,629
2001 5,281,837 1,095,348 267,000 b 1,830,360 3,192,708 8,473,246
2002 1,419,630 703,884 335,661 b 1,263,918 2,303,463 3,722,401
2003 3,350,656 1,686,804 3,676,146 a 1,831,170 7,194,120 10,542,573
2004 4,716,715 5,500,134 5,396,592 a 1,939,374 12,836,100 17,551,170
2005 6,730,812 2,320,422 4,219,026 a 2,744,622 9,284,070 15,990,456
2006 7,151,741 3,068,226 1,773,966 a 1,953,228 6,795,420 13,949,170
2007 9,027,161 2,810,208 2,466,414 a 2,945,304 8,221,926 17,244,437
2008 10,385,172 2,757,912 2,180,502 a 2,472,690 7,411,104 17,792,948
2009 8,517,450 2,266,140 970,818 a 1,169,466 4,406,424 12,925,769
2010 10,861,016 4,207,410 1,187,730 a 1,463,928 6,859,068 17,720,084
2011 9,019,372 2,264,352 883,794 a 1,177,074 4,325,220 13,344,592
2012 10,152,917 4,164,444 861,747 b 900,312 5,926,503 16,079,420
2013 4,853,030 2,088,576 1,095,950 b 938,160 4,122,686 8,975,716
2014 13,791,053 4,458,540 200,500 b 1,474,428 6,133,468 19,924,521
2015 16,531,193 7,349,712 5,770,650 b 1,920,954 15,041,316 31,572,509
2016 13,466,245 4,462,728 1,775,820 b 1,691,910 7,930,458 21,396,703
2017 8,256,304 3,163,404 2,047,894 a 1,899,426 7,110,724 15,367,028
